QualifiedName,ModifiedName,CBO,DIT,WMC,LCOM,LOC
org.apache.fontbox.ttf.GlyfCompositeDescript,org/apache/fontbox/ttf/GlyfCompositeDescript.java-2.0.31,6,1,40,0.75,124
org.apache.fontbox.ttf.GlyfDescript,org/apache/fontbox/ttf/GlyfDescript.java-2.0.31,1,0,5,1.167,53
org.apache.fontbox.ttf.GlyfSimpleDescript,org/apache/fontbox/ttf/GlyfSimpleDescript.java-2.0.31,2,1,25,0.792,71
org.apache.fontbox.ttf.GlyphData,org/apache/fontbox/ttf/GlyphData.java-2.0.31,7,0,12,0.843,129
org.apache.fontbox.ttf.GlyphDescription,org/apache/fontbox/ttf/GlyphDescription.java-2.0.31,0,1,8,0,4
org.apache.fontbox.ttf.GlyphRenderer,org/apache/fontbox/ttf/GlyphRenderer.java-2.0.31,3,0,7,0,4
org.apache.fontbox.ttf.GlyphSubstitutionTable,org/apache/fontbox/ttf/GlyphSubstitutionTable.java-2.0.31,3,1,47,0.667,8
org.apache.fontbox.ttf.GlyphTable,org/apache/fontbox/ttf/GlyphTable.java-2.0.31,6,1,24,0.625,8
org.apache.fontbox.ttf.HeaderTable,org/apache/fontbox/ttf/HeaderTable.java-2.0.31,2,1,32,0.945,9
org.apache.fontbox.ttf.HorizontalHeaderTable,org/apache/fontbox/ttf/HorizontalHeaderTable.java-2.0.31,2,1,36,0.941,9
org.apache.fontbox.ttf.HorizontalMetricsTable,org/apache/fontbox/ttf/HorizontalMetricsTable.java-2.0.31,3,1,14,0.375,9
org.apache.fontbox.ttf.IndexToLocationTable,org/apache/fontbox/ttf/IndexToLocationTable.java-2.0.31,3,1,8,0.667,9
org.apache.fontbox.ttf.KerningSubtable,org/apache/fontbox/ttf/KerningSubtable.java-2.0.31,2,0,29,0.885,13
org.apache.fontbox.ttf.KerningTable,org/apache/fontbox/ttf/KerningTable.java-2.0.31,4,1,12,0.5,13
org.apache.fontbox.ttf.MaximumProfileTable,org/apache/fontbox/ttf/MaximumProfileTable.java-2.0.31,2,1,33,0.933,14
org.apache.fontbox.ttf.MemoryTTFDataStream,org/apache/fontbox/ttf/MemoryTTFDataStream.java-2.0.31,0,1,17,0.375,14
org.apache.fontbox.ttf.NameRecord,org/apache/fontbox/ttf/NameRecord.java-2.0.31,2,0,13,1.036,15
org.apache.fontbox.ttf.NamingTable,org/apache/fontbox/ttf/NamingTable.java-2.0.31,4,1,19,0,135
org.apache.fontbox.ttf.OS2WindowsMetricsTable,org/apache/fontbox/ttf/OS2WindowsMetricsTable.java-2.0.31,3,1,74,0.993,64
org.apache.fontbox.ttf.OTFParser,org/apache/fontbox/ttf/OTFParser.java-2.0.31,2,1,6,0,71
org.apache.fontbox.ttf.OTLTable,org/apache/fontbox/ttf/OTLTable.java-2.0.31,1,1,1,0,138
org.apache.fontbox.ttf.OpenTypeFont,org/apache/fontbox/ttf/OpenTypeFont.java-2.0.31,3,1,9,0,2
org.apache.fontbox.ttf.OpenTypeScript,org/apache/fontbox/ttf/OpenTypeScript.java-2.0.31,1,0,4,0,4
org.apache.fontbox.ttf.PostScriptTable,org/apache/fontbox/ttf/PostScriptTable.java-2.0.31,4,1,41,0.9,18
org.apache.fontbox.ttf.RAFDataStream,org/apache/fontbox/ttf/RAFDataStream.java-2.0.31,0,1,10,0,30
org.apache.fontbox.ttf.SubstitutingCmapLookup,org/apache/fontbox/ttf/SubstitutingCmapLookup.java-2.0.31,2,0,1,0,84
org.apache.fontbox.ttf.TTCDataStream,org/apache/fontbox/ttf/TTCDataStream.java-2.0.31,0,1,10,0,138
org.apache.fontbox.ttf.TTFDataStream,org/apache/fontbox/ttf/TTFDataStream.java-2.0.31,0,0,24,0,28
org.apache.fontbox.ttf.TTFParser,org/apache/fontbox/ttf/TTFParser.java-2.0.31,22,0,47,0.667,43
org.apache.fontbox.ttf.TTFSubsetter,org/apache/fontbox/ttf/TTFSubsetter.java-2.0.31,15,0,96,0.84,67
org.apache.fontbox.ttf.TTFTable,org/apache/fontbox/ttf/TTFTable.java-2.0.31,2,0,9,0.914,139
org.apache.fontbox.ttf.TrueTypeCollection,org/apache/fontbox/ttf/TrueTypeCollection.java-2.0.31,5,0,11,0.556,2
org.apache.fontbox.ttf.TrueTypeFont,org/apache/fontbox/ttf/TrueTypeFont.java-2.0.31,21,0,57,0.844,3
org.apache.fontbox.ttf.VerticalHeaderTable,org/apache/fontbox/ttf/VerticalHeaderTable.java-2.0.31,2,1,19,0.941,3
org.apache.fontbox.ttf.VerticalMetricsTable,org/apache/fontbox/ttf/VerticalMetricsTable.java-2.0.31,3,1,12,0.375,15
org.apache.fontbox.ttf.VerticalOriginTable,org/apache/fontbox/ttf/VerticalOriginTable.java-2.0.31,2,1,6,0.5,28
org.apache.fontbox.ttf.WGL4Names,org/apache/fontbox/ttf/WGL4Names.java-2.0.31,0,0,1,0,38
org.apache.fontbox.type1.DamagedFontException,org/apache/fontbox/type1/DamagedFontException.java-2.0.31,0,0,0,0,145
org.apache.fontbox.type1.Token,org/apache/fontbox/type1/Token.java-2.0.31,0,0,7,1.214,14
org.apache.fontbox.type1.Type1CharStringReader,org/apache/fontbox/type1/Type1CharStringReader.java-2.0.31,0,1,1,0,19
org.apache.fontbox.type1.Type1Font,org/apache/fontbox/type1/Type1Font.java-2.0.31,4,0,20,0.992,53
org.apache.fontbox.type1.Type1Lexer,org/apache/fontbox/type1/Type1Lexer.java-2.0.31,4,0,71,0.8,59
org.apache.fontbox.type1.Type1Parser,org/apache/fontbox/type1/Type1Parser.java-2.0.31,6,0,99,0.656,154
org.apache.fontbox.util.BoundingBox,org/apache/fontbox/util/BoundingBox.java-2.0.31,0,0,13,0.667,14
org.apache.fontbox.util.Charsets,org/apache/fontbox/util/Charsets.java-2.0.31,0,0,1,0,28
org.apache.fontbox.util.autodetect.FontDirFinder,org/apache/fontbox/util/autodetect/FontDirFinder.java-2.0.31,0,1,1,0,75
org.apache.fontbox.util.autodetect.FontFileFinder,org/apache/fontbox/util/autodetect/FontFileFinder.java-2.0.31,6,0,5,0,156
org.apache.fontbox.util.autodetect.MacFontDirFinder,org/apache/fontbox/util/autodetect/MacFontDirFinder.java-2.0.31,0,1,0,0,2
org.apache.fontbox.util.autodetect.NativeFontDirFinder,org/apache/fontbox/util/autodetect/NativeFontDirFinder.java-2.0.31,0,0,0,0,6
org.apache.fontbox.util.autodetect.OS400FontDirFinder,org/apache/fontbox/util/autodetect/OS400FontDirFinder.java-2.0.31,0,1,0,0,8
org.apache.fontbox.util.autodetect.UnixFontDirFinder,org/apache/fontbox/util/autodetect/UnixFontDirFinder.java-2.0.31,0,1,0,0,10
org.apache.fontbox.util.autodetect.WindowsFontDirFinder,org/apache/fontbox/util/autodetect/WindowsFontDirFinder.java-2.0.31,0,0,0,0,14
org.apache.pdfbox.contentstream.PDContentStream,org/apache/pdfbox/contentstream/PDContentStream.java-2.0.31,3,1,4,0,66
org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine,org/apache/pdfbox/contentstream/PDFGraphicsStreamEngine.java-2.0.31,68,1,13,0,164
