Path,CBO,DIT,WMC,LOC,LCOM,Buggy
pdfbox/src/main/java/org/apache/pdfbox/filter/ASCII85OutputStream.java-2.0.31,0,0,25,591,0.729,Yes
pdfbox/src/main/java/org/apache/pdfbox/rendering/RenderDestination.java-2.0.31,0,0,0,585,0.0,No
xmpbox/src/main/java/org/apache/xmpbox/type/DefinedStructuredType.java-2.0.31,1,3,1,564,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/util/AddWatermarkText.java-2.0.31,0,0,2,563,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/signature/cert/RevokedCertificateException.java-2.0.31,0,0,0,557,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/signature/cert/CRLVerifier.java-2.0.31,1,0,1,549,0.0,Yes
preflight/src/main/java/org/apache/pdfbox/preflight/xobject/XObjectValidator.java-2.0.31,0,1,1,535,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/signature/CreateVisibleSignature.java-2.0.31,3,1,3,526,1.5,Yes
examples/src/main/java/org/apache/pdfbox/examples/printing/OpaquePDFRenderer.java-2.0.31,3,1,2,525,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ShowColorBoxes.java-2.0.31,0,0,1,523,0.0,Yes
tools/src/main/java/org/apache/pdfbox/tools/ExtractXMP.java-2.0.31,0,0,2,510,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorldTTF.java-2.0.31,0,0,1,488,0.0,Yes
xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java-2.0.31,0,0,1,487,0.0,Yes
preflight/src/main/java/org/apache/pdfbox/preflight/graphic/ICCProfileWrapper.java-2.0.31,10,0,15,479,0.0,Yes
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractTTFFonts.java-2.0.31,0,0,2,469,0.0,Yes
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/EmbeddedMultipleFonts.java-2.0.31,2,0,3,469,0.0,No
preflight/src/main/java/org/apache/pdfbox/preflight/xobject/XObjPostscriptValidator.java-2.0.31,2,1,2,468,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDPageLabelRange.java-2.0.31,2,0,6,468,0.833,No
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDVariableText.java-2.0.31,10,2,7,464,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/documentinterchange/logicalstructure/PDUserProperty.java-2.0.31,4,1,8,451,0.0,Yes
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateBlankPDF.java-2.0.31,0,0,1,442,0.0,No
preflight/src/main/java/org/apache/pdfbox/preflight/font/util/FontMetaDataValidation.java-2.0.31,0,0,0,435,0.0,No
examples/src/main/java/org/apache/pdfbox/examples/interactive/form/UpdateFieldOnDocumentOpen.java-2.0.31,0,0,1,431,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/type4/ExecutionContext.java-2.0.31,1,0,4,423,0.0,Yes
examples/src/main/java/org/apache/pdfbox/examples/interactive/form/CreateRadioButtons.java-2.0.31,8,0,6,421,0.0,Yes
debugger/src/main/java/org/apache/pdfbox/debugger/ui/textsearcher/SearchEngine.java-2.0.31,1,0,0,420,0.0,No
preflight/src/main/java/org/apache/pdfbox/preflight/graphic/DeviceColorSpaceHelper.java-2.0.31,6,1,7,409,0.0,Yes
