Path,CBO,DIT,WMC,LOC,LCOM,Buggy
fontbox/src/main/java/org/apache/fontbox/ttf/KerningTable.java-2.0.26,4,1,12,33,0.5,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/MaximumProfileTable.java-2.0.26,2,1,32,97,0.933,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/MemoryTTFDataStream.java-2.0.26,0,1,17,73,0.375,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/NameRecord.java-2.0.26,2,0,13,79,1.036,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/NamingTable.java-2.0.26,4,1,19,114,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/OS2WindowsMetricsTable.java-2.0.26,3,1,74,273,0.993,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/OTFParser.java-2.0.26,2,1,6,34,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/OTLTable.java-2.0.26,1,1,1,3,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/OpenTypeFont.java-2.0.26,3,1,8,29,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/OpenTypeScript.java-2.0.26,1,0,4,231,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/PostScriptTable.java-2.0.26,4,1,40,122,0.9,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/RAFDataStream.java-2.0.26,0,1,10,41,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/SubstitutingCmapLookup.java-2.0.26,2,0,1,17,0.0,No
fontbox/src/main/java/org/apache/fontbox/ttf/TTCDataStream.java-2.0.26,0,1,10,33,0.0,No
fontbox/src/main/java/org/apache/fontbox/ttf/TTFDataStream.java-2.0.26,0,0,24,71,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/TTFParser.java-2.0.26,21,0,46,128,0.667,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/TTFSubsetter.java-2.0.26,15,0,94,561,0.84,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/TTFTable.java-2.0.26,2,0,9,28,0.914,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/TrueTypeCollection.java-2.0.26,5,0,11,48,0.556,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/TrueTypeFont.java-2.0.26,21,0,57,237,0.844,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/VerticalHeaderTable.java-2.0.26,2,1,19,75,0.941,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/VerticalMetricsTable.java-2.0.26,3,1,12,42,0.375,Yes
fontbox/src/main/java/org/apache/fontbox/ttf/VerticalOriginTable.java-2.0.26,2,1,6,25,0.5,Yes
